,mass_grams,fall,year,reclat,reclong,elevation,FIPS,area_sqkm,BARE,CROPL,FOREST,GRSL,SHRUBL,SPARSE_VEGETATION,URBAN,WATER,WETL,Achrondrite,Chrondrite,Iron,Mesosiderite,Pallasite
24,17000.0,1,2006,40.266667,-94.683333,318.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,1
25,566.0,1,1969,39.59167,-94.92194,339.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,1,0,0,0
26,100000.0,1,1966,39.61667,-94.86667,329.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,1,0,0,0
27,46500.0,1,1933,38.65,-94.33333,295.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,1,0,0,0
28,55400.0,1,1946,36.82444,-93.76111,391.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,1,0,0
29,13780.0,1,1932,36.53333,-91.8,269.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,1,0,0
30,2040.0,1,2000,40.2875,-95.37667,305.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,1
31,89400.0,1,1857,36.55,-93.1,270.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,1,0
32,17500.0,1,1906,37.73333,-89.85,162.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,1,0,0
33,25900.0,1,1940,37.2375,-92.78694,481.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,1,0,0
34,3600.0,1,1863,37.75,-90.5,296.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,1,0,0
35,244500.0,1,1888,37.96667,-90.31667,234.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,1,0,0
36,9500.0,0,2009,31.805,-97.01,170.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
37,375.0,0,1961,33.6,-96.46667,216.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
38,5100.0,0,1909,31.83333,-98.83333,534.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
39,3640.0,0,1922,30.83333,-97.76667,310.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
40,8360.0,0,1961,32.675,-94.51167,93.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
41,6937.0,0,1939,29.45,-96.0,31.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
42,97.7,0,1906,30.75,-95.95,96.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,1,0,0,0,0
43,2587.0,0,1998,31.60833,-102.85833,812.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
44,70000.0,0,1946,30.125,-103.11667,1220.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,1,0,0,0,0
45,2085.0,0,1930,30.7,-96.11667,85.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
46,1900.0,0,1980,31.25,-99.03333,497.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
47,1020.0,0,1917,32.16667,-95.1,143.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
48,2914.0,1,1941,33.85,-101.8,1016.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
49,3046.0,1,1995,32.59033,-101.77217,868.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
50,22600.0,1,1936,35.15,-102.71667,1268.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
51,956.0,1,1936,34.2,-101.5,1005.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
52,1407.0,1,1923,33.1,-96.7,200.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
53,6570.0,1,1978,33.1,-102.95,1126.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
54,41800.0,1,1965,33.7825,-102.18111,1037.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
55,55400.0,1,1969,32.9,-102.28333,962.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
56,6200.0,1,1943,31.66,-96.97167,163.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
57,1250.0,1,1927,31.76667,-99.98333,526.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
58,11100.0,1,1994,30.78333,-103.46667,1078.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
59,8590.0,1,1938,30.83333,-97.5,212.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
60,10400.0,1,1950,34.0,-101.5,982.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
61,51800.0,1,1969,33.58333,-99.8,449.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
62,30500.0,1,1970,33.59167,-103.02667,1208.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
63,153300.0,1,1878,29.87861,-96.87222,122.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
64,16000.0,1,1917,29.86306,-96.92667,96.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
65,1100.0,1,1932,29.8,-98.8,533.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
66,927.0,1,1937,31.05,-99.46667,590.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
67,1773.0,1,1940,34.35,-101.4,1001.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
68,972.0,1,1971,33.28333,-102.96667,1162.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
69,101.0,1,1980,33.275,-102.96,1152.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
70,53.0,1,1980,33.275,-102.96,1152.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
71,40960.0,1,1937,33.21667,-102.18333,989.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
72,4100.0,1,1964,33.21667,-102.18333,989.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
73,1550.0,1,1974,33.135,-102.27833,1006.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
74,1626.0,1,1960,33.21667,-102.18333,989.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
75,9300.0,1,2003,32.246109999999994,-99.99306,681.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
76,8400.0,1,1913,32.03333,-99.25,486.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
77,40000.0,1,1958,28.41667,-98.25,47.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
78,860.0,1,1957,34.96667,-101.93333,1075.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
79,81200.0,1,1887,31.91667,-98.03333,339.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
80,26000.0,1,1900,29.82806,-96.90861,118.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
81,3600.0,1,1959,34.2,-100.48333,602.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
82,2400.0,1,1941,36.2,-102.45,1230.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
83,15300.0,1,1936,35.71667,-102.28333,1147.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
84,212.0,1,1915,29.0,-103.25,624.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
85,2268.0,1,1977,34.02806,-102.68,1185.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
86,1964.0,1,1979,34.905,-100.91333,873.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
87,26.8,1,1981,34.93611,-100.94167,868.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
88,15600.0,1,1964,34.34667,-101.49,1010.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
89,5136.0,1,1978,34.34833,-101.65833,1035.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
90,6800.0,1,1907,32.31667,-97.41667,243.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
91,19700.0,1,1940,32.01667,-98.7,423.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
